STATION,SOURCE,LATITUDE,LONGITUDE,ELEVATION,CALL_SIGN,Air Temperature (°C),Above Freezing Flag,Dew Point (°C),Sea Level Pressure (hPa),MW1_VAL,Visibility (km),REPORT_TYPE_FM-12,REPORT_TYPE_FM-15,HOUR
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,3.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.11,-1.41,0.00,1.85,1.00,0.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.33,-0.14,-1.41,0.00,1.48,1.00,0.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,5.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.34,0.33,-0.16,-1.41,0.00,1.10,1.00,0.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.44,0.33,-0.23,-1.41,0.00,0.35,1.00,0.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,7.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.49,0.33,-0.21,-1.41,0.00,-0.03,1.00,0.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.33,-0.05,-1.41,0.00,0.35,1.00,0.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,9.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.33,-0.08,-1.41,0.00,1.10,1.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.33,-0.14,-1.41,0.00,1.10,1.00,0.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,11.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.24,0.33,-0.11,-1.41,0.00,0.35,1.00,0.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,12.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.20,0.33,-0.11,-1.41,0.00,0.35,1.00,0.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.33,-0.01,0.71,0.00,-0.41,0.00,1.00,13.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.28,0.33,-0.16,-1.41,0.00,0.35,1.00,0.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,14.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.37,0.33,-0.21,-1.41,0.00,0.35,1.00,0.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.15,0.71,0.00,-0.41,0.00,1.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.29,0.71,0.00,-0.41,0.00,1.00,15.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.49,0.33,-0.42,-1.41,0.00,0.72,1.00,0.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.53,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.52,0.33,-0.50,-1.41,0.00,0.72,1.00,0.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,17.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.66,-1.41,0.00,-0.41,1.00,0.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.58,0.71,0.00,-0.48,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.65,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,18.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.86,0.33,-0.63,-1.41,0.00,-0.41,1.00,0.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,19.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.79,0.33,-0.55,-1.41,0.00,-0.41,1.00,0.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,20.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.85,0.33,-0.65,-1.41,0.00,-0.41,1.00,0.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.89,0.33,-0.58,0.71,0.00,-0.41,0.00,1.00,21.00
0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.33,-0.43,0.71,0.00,-0.41,0.00,1.00,21.00
